"Year","Ownership","Territory.Age","Territory.Search.Time","Territory.Search.Effort","Number.of.Visits","Birds.Present","Age.of.Female","Age.of.Male","Nest.Built.Up.","Nest.Tree.Species","Nest.Height..m.","Eggs.laid.","Number.of.Eggs","Eggs.hatched.","Number.of.Eggs.Hatched","Young.chicks.fail.","Chicks.ringed.","Number.of.chicks.ringed","Fledged.","When.did.you.check.fledging.","Number.of.Chicks.Fledged","S.Petty.Breeding.Code","Dominant.Surrounding.Habitat","Reasons.for.Nest.Failure","Comments","S.Petty_F","Breeding.Success","Elevation","Rain_con","Site.Code","Surveyor_A","Site.code.f","Year_f"
2005,"State",19,19,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","No",0,"Yes",NA,1,7,NA,NA,NA,7,1,277,19,"G009","S003","G009","2005"
2005,"State",3,2,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",4,"Yes",NA,"No","No",0,"Yes",NA,3,7,"Plantation",NA,NA,7,1,348,19,"G015","S003","G015","2005"
2005,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,238,19,"G016","S003","G016","2005"
2005,"State",4,4,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,250,19,"G042","S003","G042","2005"
2005,"State",23,23,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,268,19,"G049","S003","G049","2005"
2005,"State",19,19,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,"Plantation",NA,NA,7,1,238,19,"G050","S003","G050","2005"
2005,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,NA,NA,NA,7,1,269,19,"G057","S003","G057","2005"
2005,"State",24,24,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation and rough grassland",NA,NA,4,0,280,19,"G074","S003","G074","2005"
2005,"State",19,19,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","No",0,"Yes",NA,1,7,"Plantation and rough grassland",NA,NA,7,1,294,19,"G077","S003","G077","2005"
2005,"State",33,33,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation",NA,NA,7,1,303,19,"G080","S003","G080","2005"
2005,"State",4,4,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",4,"Yes",4,"No","Yes",4,"Yes","At ringing",4,7,"Plantation and rough grassland",NA,NA,7,1,278,19,"G084","S003","G084","2005"
2005,"Private",6,6,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Moorland and rough grassland",NA,NA,1,NA,107,19,"G086","S002","G086","2005"
2005,"State",15,15,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,217,19,"G090","S003","G090","2005"
2005,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation",NA,NA,7,1,258,19,"G091","S003","G091","2005"
2005,"State",11,11,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,NA,NA,NA,7,1,271,19,"G094","S003","G094","2005"
2005,"State",1,1,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,314,19,"G096","S003","G096","2005"
2005,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,184,19,"G105","S003","G105","2005"
2005,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,"Plantation and rough grassland",NA,NA,3,0,196,19,"G127","S003","G127","2005"
2005,"State",22,22,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation",NA,NA,7,1,410,19,"G142","S003","G142","2005"
2005,"State",2,2,"Yes",NA,"SB","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation and rough grassland",NA,NA,2,0,195,19,"G166","S003","G166","2005"
2005,"State",33,33,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,0,5,"Plantation and Moorland",NA,NA,5,0,345,19,"G174","S003","G174","2005"
2006,"State",29,29,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,325,15,"G002","S003","G002","2006"
2006,"State",4,4,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,248,15,"G007","S003","G007","2006"
2006,"State",20,20,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","No",0,"Yes",NA,1,7,NA,NA,NA,7,1,277,15,"G009","S003","G009","2006"
2006,"State",4,3,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,357,15,"G015","S003","G015","2006"
2006,"State",26,26,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,270,15,"G016","S003","G016","2006"
2006,"State",5,5,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","Yes",3,"Yes","At ringing",3,7,"Plantation",NA,NA,7,1,250,15,"G042","S003","G042","2006"
2006,"State",24,24,"No",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,"Plantation and rough grassland",NA,NA,3,0,268,15,"G049","S003","G049","2006"
2006,"State",20,20,"No",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,"Plantation",NA,NA,3,0,238,15,"G050","S003","G050","2006"
2006,"State",26,26,"No",NA,"SB","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,3,0,278,15,"G057","S003","G057","2006"
2006,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation and rough grassland",NA,NA,4,0,280,15,"G074","S003","G074","2006"
2006,"State",20,20,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","Yes",3,"Yes","At ringing",3,7,"Plantation and rough grassland",NA,NA,7,1,294,15,"G077","S003","G077","2006"
2006,"State",34,34,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation",NA,NA,7,1,288,15,"G080","S003","G080","2006"
2006,"State",5,5,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,"Plantation and rough grassland",NA,NA,7,1,278,15,"G084","S003","G084","2006"
2006,"Private",7,7,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Moorland and rough grassland",NA,NA,1,NA,107,15,"G086","S002","G086","2006"
2006,"State",16,16,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation and rough grassland",NA,NA,4,0,217,15,"G090","S003","G090","2006"
2006,"State",26,26,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation",NA,NA,7,1,290,15,"G091","S003","G091","2006"
2006,"State",12,12,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,2,0,271,15,"G094","S003","G094","2006"
2006,"State",2,2,"Yes",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation and rough grassland",NA,NA,2,0,314,15,"G096","S003","G096","2006"
2006,"State",26,26,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,184,15,"G105","S003","G105","2006"
2006,"State",26,26,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation and rough grassland",NA,NA,4,0,214,15,"G127","S003","G127","2006"
2006,"State",18,18,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","No",0,"Yes",NA,1,7,NA,NA,NA,7,1,275,15,"G134","S003","G134","2006"
2006,"State",23,23,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","Yes",3,"Yes","At ringing",3,7,"Plantation",NA,NA,7,1,410,15,"G142","S003","G142","2006"
2006,"State",3,3,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,"Plantation and rough grassland",NA,NA,7,1,195,15,"G166","S003","G166","2006"
2006,"State",34,34,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,0,5,"Plantation and Moorland",NA,NA,5,0,345,15,"G174","S003","G174","2006"
2007,"State",21,21,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","No",0,"Yes",NA,1,7,"Plantation and rough grassland",NA,NA,7,1,231,8,"G001","S003","G001","2007"
2007,"State",30,30,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",4,"Yes",4,"No","Yes",4,"Yes","At ringing",4,7,"Plantation",NA,NA,7,1,325,8,"G002","S003","G002","2007"
2007,"State",34,34,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,230,8,"G004","S003","G004","2007"
2007,"State",21,21,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,NA,NA,NA,7,1,277,8,"G009","S003","G009","2007"
2007,"State",5,4,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation",NA,NA,7,1,357,8,"G015","S003","G015","2007"
2007,"State",27,27,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","No",0,"Yes",NA,1,7,"Plantation",NA,NA,7,1,270,8,"G016","S003","G016","2007"
2007,"State",1,1,"Yes",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,"Plantation",NA,NA,3,0,290,8,"G021","S003","G021","2007"
2007,"State",6,6,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","Yes",1,"Yes","At ringing",1,7,"Plantation",NA,NA,7,1,250,8,"G042","S003","G042","2007"
2007,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,268,8,"G049","S003","G049","2007"
2007,"State",21,21,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,238,8,"G050","S003","G050","2007"
2007,"State",27,27,"No",NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,278,8,"G057","S003","G057","2007"
2007,"State",21,21,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","No",0,"Yes",NA,1,7,NA,NA,NA,7,1,284,8,"G073","S003","G073","2007"
2007,"State",26,26,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation and rough grassland",NA,NA,4,0,280,8,"G074","S003","G074","2007"
2007,"State",21,21,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",4,"Yes",4,"No","Yes",4,"Yes","At ringing",4,7,"Plantation and rough grassland",NA,NA,7,1,294,8,"G077","S003","G077","2007"
2007,"State",35,35,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",1,"Yes",1,"No","Yes",1,"Yes","At ringing",1,7,"Plantation",NA,NA,7,1,288,8,"G080","S003","G080","2007"
2007,"State",6,6,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",NA,"No","Yes",1,"Yes","At ringing",1,7,"Plantation and rough grassland",NA,NA,7,1,278,8,"G084","S003","G084","2007"
2007,"Private",8,8,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Moorland and rough grassland",NA,NA,1,NA,107,8,"G086","S002","G086","2007"
2007,"State",17,17,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,278,8,"G090","S003","G090","2007"
2007,"State",27,27,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,0,5,"Plantation",NA,NA,5,0,290,8,"G091","S003","G091","2007"
2007,"State",3,3,"Yes",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,"Plantation and rough grassland",NA,NA,3,0,314,8,"G096","S003","G096","2007"
2007,"State",9,9,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,0,5,"Plantation",NA,NA,5,0,342,8,"G101","S003","G101","2007"
2007,"State",27,27,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,184,8,"G105","S003","G105","2007"
2007,"State",27,27,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,"Plantation and rough grassland",NA,NA,7,1,225,8,"G127","S003","G127","2007"
2007,"State",19,19,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,NA,NA,NA,4,0,275,8,"G134","S003","G134","2007"
2007,"State",24,24,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","Yes",3,"Yes","At ringing",3,7,"Plantation",NA,NA,7,1,410,8,"G142","S003","G142","2007"
2007,"State",4,4,"Yes",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation and rough grassland",NA,NA,2,0,195,8,"G166","S003","G166","2007"
2007,"State",35,35,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation and Moorland",NA,NA,7,1,345,8,"G174","S003","G174","2007"
2008,"State",22,22,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","Yes",3,"Yes","At ringing",3,7,"Plantation and rough grassland",NA,NA,7,1,231,12,"G001","S003","G001","2008"
2008,"State",31,31,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,325,12,"G002","S003","G002","2008"
2008,"State",35,35,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,243,12,"G004","S003","G004","2008"
2008,"Private",15,15,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",3,"Yes",NA,3,7,"Plantation",NA,NA,7,1,269,12,"G005","S004","G005","2008"
2008,"Private",15,15,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",4,"Yes",NA,4,7,"Plantation",NA,NA,7,1,347,12,"G006","S004","G006","2008"
2008,"Private",25,25,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,243,12,"G012","S004","G012","2008"
2008,"Private",35,30,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",3,"Yes",NA,3,7,"Plantation",NA,NA,7,1,212,12,"G013","S004","G013","2008"
2008,"State",6,5,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,357,12,"G015","S003","G015","2008"
2008,"State",28,28,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,0,5,"Plantation",NA,NA,5,0,270,12,"G016","S003","G016","2008"
2008,"Private",20,3,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,55,12,"G019","S004","G019","2008"
2008,"Private",25,25,"Yes",NA,"BP","U","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,"Nest not found",2,0,209,12,"G020","S004","G020","2008"
2008,"State",2,2,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,290,12,"G021","S003","G021","2008"
2008,"Private",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",3,"Yes",NA,3,7,"Plantation",NA,NA,7,1,336,12,"G023","S004","G023","2008"
2008,"Private",20,3,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,147,12,"G036","S004","G036","2008"
2008,"State",7,7,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","Yes",3,"Yes","At ringing",3,7,"Plantation",NA,NA,7,1,250,12,"G042","S003","G042","2008"
2008,"State",26,26,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,268,12,"G049","S003","G049","2008"
2008,"State",22,22,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","Yes",3,"Yes","At ringing",3,7,"Plantation",NA,NA,7,1,238,12,"G050","S003","G050","2008"
2008,"Private",15,15,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",3,"Yes",NA,3,7,"Plantation",NA,NA,7,1,348,12,"G058","S004","G058","2008"
2008,"Private",20,20,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation","Failed on eggs",NA,4,0,250,12,"G064","S004","G064","2008"
2008,"Private",20,3,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Plantation and rough grassland",NA,NA,1,NA,275,12,"G070","S004","G070","2008"
2008,"State",22,22,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,NA,NA,NA,7,1,284,12,"G073","S003","G073","2008"
2008,"State",27,27,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation and rough grassland",NA,NA,4,0,229,12,"G074","S003","G074","2008"
2008,"State",36,36,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation",NA,NA,4,0,288,12,"G080","S003","G080","2008"
2008,"Private",9,9,"Yes",NA,"BP","U","U","Yes","Scots Pine",10,"Yes",NA,"Yes",NA,"No","No",0,"Yes","Specific check for fledging",1,7,"Moorland and rough grassland",NA,NA,7,1,184,12,"G087","S002","G087","2008"
2008,"State",18,18,"No",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,"Plantation and rough grassland",NA,NA,3,0,211,12,"G090","S003","G090","2008"
2008,"State",28,28,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,290,12,"G091","S003","G091","2008"
2008,"State",4,4,"Yes",NA,"SB","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation and rough grassland",NA,NA,2,0,271,12,"G096","S003","G096","2008"
2008,"State",10,10,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",NA,"No","Yes",1,"Yes","At ringing",1,7,"Plantation",NA,NA,7,1,342,12,"G101","S003","G101","2008"
2008,"Private",25,25,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",2,"Yes",NA,2,7,"Plantation",NA,NA,7,1,254,12,"G104","S004","G104","2008"
2008,"State",28,28,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","No",0,"Yes",NA,2,7,"Plantation and rough grassland",NA,NA,7,1,184,12,"G105","S003","G105","2008"
2008,"Private",20,3,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,199,12,"G106","S004","G106","2008"
2008,"Private",20,20,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Plantation",NA,NA,1,NA,185,12,"G112","S004","G112","2008"
2008,"Private",20,20,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation","Failed on eggs",NA,4,0,151,12,"G113","S004","G113","2008"
2008,"Private",20,20,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Plantation",NA,NA,1,NA,245,12,"G115","S004","G115","2008"
2008,"Private",20,20,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",4,"Yes",NA,4,7,"Plantation",NA,NA,7,1,185,12,"G116","S004","G116","2008"
2008,"Private",25,25,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",1,"Yes",NA,1,7,"Plantation",NA,NA,7,1,180,12,"G119","S004","G119","2008"
2008,"Private",20,10,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,186,12,"G122","S004","G122","2008"
2008,"State",1,1,"No",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,"Plantation and Moorland",NA,NA,3,0,342,12,"G124","S003","G124","2008"
2008,"State",28,28,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation and rough grassland",NA,NA,7,1,214,12,"G127","S003","G127","2008"
2008,"Private",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",2,"Yes",NA,2,7,"Plantation",NA,NA,7,1,329,12,"G129","S004","G129","2008"
2008,"State",20,20,"No",NA,"BP","U","U","Yes",NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,3,0,275,12,"G134","S003","G134","2008"
2008,"Private",20,10,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Plantation",NA,NA,1,NA,134,12,"G138","S004","G138","2008"
2008,"Private",20,20,"Yes",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation","Nest not found",NA,2,0,303,12,"G140","S004","G140","2008"
2008,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",NA,"No","Yes",1,"Yes","At ringing",1,7,"Plantation",NA,NA,7,1,410,12,"G142","S003","G142","2008"
2008,"Private",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",1,"Yes",NA,1,7,"Plantation",NA,NA,7,1,332,12,"G146","S004","G146","2008"
2008,"State",25,25,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plantation","Nest not found",NA,NA,NA,223,12,"G147","S004","G147","2008"
2008,"Private",20,20,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation","Nest not found",NA,2,0,221,12,"G148","S004","G148","2008"
2008,"Private",20,20,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"No",0,NA,NA,NA,NA,NA,0,4,"Plantation","Failed on eggs",NA,4,0,225,12,"G151","S004","G151","2008"
2008,"Private",20,20,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",3,"Yes",NA,3,7,"Arable  farmland",NA,NA,7,1,197,12,"G161","S004","G161","2008"
2008,"State",5,5,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,"Plantation and rough grassland",NA,NA,7,1,195,12,"G166","S003","G166","2008"
2008,"State",25,25,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",2,"Yes",NA,2,7,"Plantation",NA,NA,7,1,202,12,"G173","S004","G173","2008"
2008,"State",36,36,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",2,"Yes",2,"No","Yes",2,"Yes","At ringing",2,7,"Plantation and Moorland",NA,NA,7,1,345,12,"G174","S003","G174","2008"
2008,"State",1,1,"Yes",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,366,12,"G008","S007","G008","2008"
2008,"State",1,1,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Plantation",NA,NA,1,NA,227,12,"G018","S007","G018","2008"
2008,"State",1,1,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Plantation",NA,NA,1,NA,181,12,"G024","S007","G024","2008"
2008,"State",1,1,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",NA,"Yes",NA,"No","Yes",2,"Yes","At ringing",2,7,"Plantation",NA,NA,7,1,282,12,"G027","S007","G027","2008"
2008,"State",1,1,"No",NA,"BP","U","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,438,12,"G030","S007","G030","2008"
2008,"State",1,1,"Yes",NA,"BP","U","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,318,12,"G037","S007","G037","2008"
