Year,Surveyor,Site.Code,Ownership,Territory.Age,Territory.Search.Time,Territory.Search.Effort,Number.of.Visits,Grid.Reference,Latitude,Longitude,County,Birds.Present,Age.of.Female,Age.of.Male,Nest.Built.Up.,Nest.Tree.Species,Nest.Height..m.,Eggs.laid.,Number.of.Eggs,Eggs.hatched.,Number.of.Eggs.Hatched,Young.chicks.fail.,Chicks.ringed.,Number.of.chicks.ringed,Fledged.,When.did.you.check.fledging.,Number.of.Chicks.Fledged,S.Petty.Breeding.Code,Dominant.Surrounding.Habitat,Reasons.for.Nest.Failure,Comments,S.Petty_F,Breeding.Success,Altitude
1987,A,G001,State,1,1,Yes,NA,NY752832,55.142525,-2.3905998,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation and rough grassland,NA,NA,2,0,168
1988,A,G001,State,2,2,Yes,NA,NY752832,55.142525,-2.3905998,NBLD,BP,U,U,Yes,NA,NA,Yes,5,Yes,3,No,No,0,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,168
1990,A,G001,State,4,4,Yes,NA,NY752832,55.142525,-2.3905998,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,168
1991,A,G001,State,5,5,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation and rough grassland,NA,NA,7,1,274
1992,A,G001,State,6,6,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,3,No,NA,NA,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,274
1993,A,G001,State,7,7,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,274
1994,A,G001,State,8,8,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,2,No,0,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,NA,NA,4,0,274
1995,A,G001,State,9,9,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,274
1997,A,G001,State,11,11,Yes,NA,NY7366082107,55.132624,-2.4146566,NBLD,SB,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,225
1998,A,G001,State,12,12,Yes,NA,NY7366082107,55.132624,-2.4146566,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,225
1999,A,G001,State,13,13,Yes,NA,NY7401981816,55.130028,-2.4089995,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,240
2000,A,G001,State,14,14,Yes,NA,NY7401981816,55.130028,-2.4089995,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation and rough grassland,NA,NA,7,1,240
2003,A,G001,State,17,17,Yes,NA,NY744815,55.127208,-2.4029958,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,NA,NA,4,0,225
2004,A,G001,State,18,18,Yes,NA,NY755805,55.118278,-2.3856595,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation and rough grassland,NA,NA,1,NA,303
2007,A,G001,State,21,21,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,No,0,Yes,NA,1,7,Plantation and rough grassland,NA,NA,7,1,231
2008,A,G001,State,22,22,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,231
2009,A,G001,State,23,23,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,Yes,1,Yes,At ringing,1,7,Plantation and rough grassland,NA,NA,7,1,231
2010,A,G001,State,24,24,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,231
2011,A,G001,State,25,25,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,Yes,1,Yes,At ringing,1,7,Plantation and rough grassland,NA,NA,7,1,231
2012,A,G001,State,26,26,Yes,2,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,Sitka,18,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation and rough grassland,NA,NA,5,0,231
2013,A,G001,State,27,27,Yes,3,NY748824,55.135316,-2.3968034,NBLD,BP,A,U,Yes,Sitka,18,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,NA,NA,4,0,231
2014,A,G001,State,28,28,Yes,3,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,Sitka,20,Yes,NA,Yes,NA,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,231
2015,A,G001,State,29,29,Yes,3,NY748824,55.135316,-2.3968034,NBLD,BP,A,A,Yes,Sitka,20,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation and rough grassland,NA,NA,7,1,231
2016,A,G001,State,30,30,Yes,3,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,Sitka,20,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation and rough grassland,NA,NA,7,1,231
2017,A,G001,State,31,31,Yes,3,NY748824,55.135316,-2.3968034,NBLD,BP,A,U,Yes,Sitka,20,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation and rough grassland,NA,NA,7,1,231
2018,A,G001,State,32,32,Yes,3,NY748824,55.135316,-2.3968034,NBLD,BP,A,U,Yes,Sitka,20,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation and rough grassland,NA,NA,7,1,231
2019,A,G001,State,33,33,Yes,3,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,Sitka,17,Yes,NA,Yes,NA,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,231
1981,A,G002,State,4,4,No,NA,NY704829,55.139565,-2.4658678,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,Yes,No,0,No,NA,0,5,Plantation,NA,NA,5,0,328
1982,A,G002,State,5,5,No,NA,NY704829,55.139565,-2.4658678,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation,NA,NA,7,1,328
1983,A,G002,State,6,6,No,NA,NY704829,55.139565,-2.4658678,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,NA,NA,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,328
1984,A,G002,State,7,7,No,NA,NY704829,55.139565,-2.4658678,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,NA,NA,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,328
1985,A,G002,State,8,8,No,NA,NY704829,55.139565,-2.4658678,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation,NA,NA,7,1,328
1986,A,G002,State,9,9,No,NA,NY703829,55.139559,-2.4674365,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,331
1987,A,G002,State,10,10,No,NA,NY703829,55.139559,-2.4674365,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,NA,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,331
1988,A,G002,State,11,11,No,NA,NY703829,55.139559,-2.4674365,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation,NA,NA,5,0,331
1989,A,G002,State,12,12,No,NA,NY705832,55.142266,-2.4643305,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,NA,NA,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,301
1990,A,G002,State,13,13,No,NA,NY705832,55.142266,-2.4643305,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,NA,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,301
1991,A,G002,State,14,14,No,NA,NY702835,55.144944,-2.4690683,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,299
1992,A,G002,State,15,15,No,NA,NY702835,55.144944,-2.4690683,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,NA,NA,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,299
1993,A,G002,State,16,16,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,NA,No,0,Yes,NA,1,7,Plantation,NA,NA,7,1,325
1994,A,G002,State,17,17,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,Yes,NA,NA,NA,NA,NA,5,Plantation,NA,NA,5,0,325
1995,A,G002,State,18,18,No,NA,NY702834,55.144045,-2.4690578,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,NA,No,No,0,Yes,NA,1,7,Plantation,NA,NA,7,1,314
1996,A,G002,State,19,19,No,NA,NY803834,55.144552,-2.3106068,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,166
1997,A,G002,State,20,20,No,NA,NY7016483486 ,55.144816,-2.4696316,NBLD,BP,U,U,Yes,NA,NA,Yes,2,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,305
1998,A,G002,State,21,21,No,NA,NY7016483486 ,55.144816,-2.4696316,NBLD,BP,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,305
1999,A,G002,State,22,22,No,NA,NY7041182984,55.14032,-2.4657041,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,322
2000,A,G002,State,23,23,No,NA,NY7041182984,55.14032,-2.4657041,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,No,0,Yes,NA,1,7,Plantation,NA,NA,7,1,322
2002,A,G002,State,25,25,No,NA,NY702834,55.144045,-2.4690578,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,314
2003,A,G002,State,26,26,No,NA,NY705831,55.141368,-2.4643201,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,300
2004,A,G002,State,27,27,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,325
2005,A,G002,State,28,28,No,NA,NY703830,55.140457,-2.467447,NBLD,NA,NA,NA,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,325
2006,A,G002,State,29,29,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,325
2007,A,G002,State,30,30,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,Yes,4,Yes,At ringing,4,7,Plantation,NA,NA,7,1,325
2008,A,G002,State,31,31,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,325
2009,A,G002,State,32,32,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,325
2010,A,G002,State,33,33,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,325
2011,A,G002,State,34,34,No,NA,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,325
2012,A,G002,State,35,35,No,3,NY703830,55.140457,-2.467447,NBLD,BP,A,A,Yes,Sitka,21,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,Blown out in gale,NA,3,0,325
2013,A,G002,State,36,36,No,2,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,Sitka,21,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation,Blown out in gale,NA,4,0,325
2014,A,G002,State,37,37,No,3,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,Sitka,21,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,325
2015,A,G002,State,38,38,No,3,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,Sitka,21,Yes,NA,Yes,NA,No,Yes,3,Yes,At ringing,3,7,Plantation,Predated by an avian predator,NA,7,1,325
2016,A,G002,State,39,39,No,3,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,Sitka,15,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation,Predated by an avian predator,NA,5,0,325
2017,A,G002,State,40,40,No,4,NY703830,55.140457,-2.467447,NBLD,BP,U,U,Yes,Sitka,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,325
2018,A,G002,State,41,41,No,4,NY703830,55.140457,-2.467447,NBLD,BP,A,U,Yes,Sitka,15,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,325
2019,A,G002,State,42,42,No,3,NY70268315,55.141803,-2.4680902,NBLD,BP,U,U,Yes,Sitka,21,Yes,NA,Yes,NA,No,No,NA,Yes,NA,NA,7,Plantation,Unknown,NA,7,1,325
2011,B,G003,State,1,1,Yes,NA,NN7404,56.211844,-4.03309,STIR,BP,2,1,Yes,Norway,NA,Yes,4,Yes,4,No,NA,NA,Yes,NA,4,7,Plantation,NA,NA,7,1,115
2012,B,G003,State,2,2,Yes,NA,NN7404,56.211844,-4.03309,STIR,BP,A,A,Yes,Norway,NA,Yes,4,Yes,4,No,NA,NA,Yes,NA,4,7,Plantation,NA,NA,7,1,115
2013,B,G003,State,3,3,Yes,NA,NN7404,56.211844,-4.03309,STIR,BP,A,A,Yes,Larch,NA,Yes,NA,Yes,NA,No,NA,NA,Yes,NA,3,7,Plantation,NA,NA,7,1,115
2014,B,G003,State,4,4,Yes,NA,NN7404,56.211844,-4.03309,STIR,BP,A,A,Yes,Larch,NA,Yes,5,Yes,5,No,Yes,5,Yes,At ringing,5,7,Plantation,NA,NA,7,1,115
2015,B,G003,State,5,5,Yes,NA,NN7404,56.211844,-4.03309,STIR,BP,A,A,Yes,Larch,NA,Yes,NA,Yes,NA,No,NA,NA,Yes,NA,5,7,Plantation,NA,NA,7,1,115
2016,B,G003,State,6,6,Yes,NA,NN7404,56.211844,-4.03309,STIR,BP,A,A,Yes,Larch,NA,Yes,4,Yes,4,No,Yes,4,Yes,NA,4,7,Plantation,NA,NA,7,1,115
2017,B,G003,State,7,7,Yes,NA,NN7404,56.211844,-4.03309,STIR,BP,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,115
2018,B,G003,State,8,8,Yes,NA,NN7404,56.211844,-4.03309,STIR,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,115
2019,B,G003,State,9,9,Yes,NA,NN7404,56.211844,-4.03309,STIR,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,115
1995,A,G004,State,22,22,No,NA,NY494823,55.132469,-2.7951549,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation,NA,NA,7,1,238
1996,A,G004,State,23,23,No,NA,NY494822,55.13157,-2.795137,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,246
1997,A,G004,State,24,24,No,NA,NY4926182219,55.131727,-2.7973202,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation,NA,NA,7,1,234
1998,A,G004,State,25,25,No,NA,NY4926182219,55.131727,-2.7973202,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,No,NA,0,6,Plantation,NA,NA,6,0,234
1999,A,G004,State,26,26,No,NA,NY4926182219,55.131727,-2.7973202,CMBR,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,234
2002,A,G004,State,29,29,No,NA,NY495823,55.132479,-2.7935866,CMBR,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,241
2004,A,G004,State,31,31,No,NA,NY505827,55.136174,-2.7779741,CMBR,BP,U,U,No,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,205
2005,A,G004,State,32,32,No,NA,NY493823,55.132459,-2.7967231,CMBR,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,230
2007,A,G004,State,34,34,No,NA,NY493823,55.132459,-2.7967231,CMBR,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,230
2008,A,G004,State,35,35,No,NA,NY493822,55.13156,-2.7967052,CMBR,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,243
2009,A,G004,State,36,36,No,NA,NY495822,55.131581,-2.7935688,CMBR,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,246
2010,A,G004,State,37,37,No,NA,NY4950082200,55.131581,-2.7935688,CMBR,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,246
2011,A,G004,State,38,38,No,NA,NY495822,55.131581,-2.7935688,CMBR,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,246
2012,A,G004,State,39,39,No,2,NY492822,55.13155,-2.7982734,CMBR,SB,U,U,Yes,Sitka,24,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,Single bird unknown sex,3,0,226
2013,A,G004,State,40,40,No,2,NY492822,55.13155,-2.7982734,CMBR,SB,U,U,Yes,Sitka,24,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,Single bird unknown sex,3,0,226
2008,C,,Private,15,15,Yes,NA,NT466200,55.470899,-2.8462472,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,3,Yes,NA,3,7,Plantation,NA,NA,7,1,269
2009,C,,Private,16,16,Yes,NA,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,3,Yes,NA,3,7,Plantation,NA,NA,7,1,212
2010,C,,Private,17,17,Yes,NA,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,NA,2,7,Plantation,NA,NA,7,1,212
2011,C,,Private,18,18,Yes,NA,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,"Failed, death of adult",NA,3,0,212
2012,C,,Private,19,19,Yes,3,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,NA,2,7,Plantation,NA,NA,7,1,212
2013,C,,Private,20,20,Yes,2,NT466207,55.477188,-2.846382,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,212
2014,C,,Private,21,21,Yes,1,NT466200,55.470899,-2.8462472,SCBO,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,269
2015,C,,Private,22,22,Yes,4,NT466200,55.470899,-2.8462472,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,3,Yes,NA,3,7,Plantation,NA,NA,7,1,269
2016,C,,Private,23,23,Yes,3,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,Larch,NA,Yes,NA,Yes,NA,No,Yes,1,Yes,NA,1,7,Plantation,NA,NA,7,1,212
2017,C,,Private,24,24,Yes,4,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,Larch,NA,Yes,NA,Yes,NA,No,Yes,3,Yes,NA,3,7,Plantation,NA,NA,7,1,212
2018,C,,Private,25,25,Yes,2,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,Larch,NA,Yes,NA,Yes,NA,No,No,0,Yes,NA,NA,7,Plantation,NA,NA,7,1,212
2019,C,,Private,26,26,Yes,NA,NT466207,55.477188,-2.846382,SCBO,BP,U,U,Yes,Larch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,Failed  ,NA,3,0,212
2008,C,,Private,15,15,No,NA,NT840233,55.503212,-2.2548515,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,4,Yes,NA,4,7,Plantation,NA,NA,7,1,347
2009,C,,Private,16,16,No,NA,NT840232,55.502313,-2.2548457,SCBO,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,343
2010,C,,Private,17,17,No,NA,NT840232,55.502313,-2.2548457,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,4,Yes,NA,4,7,Plantation,NA,NA,7,1,343
2011,C,,Private,18,18,No,NA,NT840232,55.502313,-2.2548457,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,4,Yes,NA,4,7,Plantation,NA,NA,7,1,343
2012,C,,Private,19,19,No,0,NT840232,55.502313,-2.2548457,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,343
2013,C,,Private,20,20,No,2,NT840232,55.502313,-2.2548457,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,343
2014,C,,Private,21,21,No,1,NT840232,55.502313,-2.2548457,SCBO,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,343
2015,C,,Private,22,22,No,2,NT840232,55.502313,-2.2548457,SCBO,BP,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,"Unknown, thought persecution",NA,2,0,343
2016,C,,Private,23,23,No,1,NT840232,55.502313,-2.2548457,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,343
2017,C,,Private,24,24,No,1,NT840232,55.502313,-2.2548457,SCBO,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,343
2018,C,,Private,25,25,No,0,NT840232,55.502313,-2.2548457,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Plantation,NA,NA,8,NA,343
2019,C,,Private,26,26,No,NA,NT840232,55.502313,-2.2548457,SCBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,NA,NA,NA,343
2004,A,,State,2,2,No,NA,NY773913,55.21541,-2.3583088,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,248
2005,A,,State,3,3,No,NA,NY773913,55.21541,-2.3583088,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,248
2006,A,,State,4,4,No,NA,NY773913,55.21541,-2.3583088,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,248
2009,A,,State,7,7,No,NA,NY751923,55.22429,-2.3929729,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,238
2011,A,,State,9,9,No,NA,NY751923,55.22429,-2.3929729,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,Yes,1,Yes,At ringing,2,7,Plantation,NA,NA,7,1,238
2012,A,,State,10,10,No,2,NY761916,55.218049,-2.3771937,NBLD,BP,U,U,Yes,Sitka,20,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,203
2013,A,,State,11,11,No,2,NY761916,55.218049,-2.3771937,NBLD,BP,U,U,Yes,Sitka,20,Yes,NA,Yes,NA,No,Yes,2,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,203
2014,A,,State,12,12,No,3,NY761916,55.218049,-2.3771937,NBLD,BP,A,U,Yes,Sitka,20,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,203
2015,A,,State,13,13,No,2,NY761916,55.218049,-2.3771937,NBLD,BP,U,A,Yes,Larch,11,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,203
2008,D,,State,1,1,Yes,NA,NT570039,55.327268,-2.6792662,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,366
2009,D,,State,2,2,Yes,3,NT567054,55.340719,-2.6842263,SCBO,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,265
2010,D,,State,3,3,Yes,3,NT567054,55.340719,-2.6842263,SCBO,BP,A,A,Yes,NA,NA,Yes,NA,Yes,2,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,265
